Industries,Year,Total Employees
Motion picture and sound recording industries,2018,"424,000"
Broadcasting and telecommunications,2018,"1,018,000"
Information and data processing services,2018,"476,000"
"Federal Reserve banks, credit intermediation, and related activities",2018,"2,661,000"
"Securities, commodity contracts, and investments",2018,"945,000"
Insurance carriers and related activities,2018,"2,708,000"
"Funds, trusts, and other financial vehicles",2018,"15,000"
Real estate,2018,"1,704,000"
Rental and leasing services and lessors of intangible assets4,2018,"591,000"
Legal services,2018,"1,158,000"
Computer systems design and related services,2018,"2,133,000"
"Miscellaneous professional, scientific, and technical services5",2018,"6,093,000"
Management of companies and enterprises6,2018,"2,351,000"
Administrative and support services,2018,"8,877,000"
Waste management and remediation services,2018,"437,000"
Educational services,2018,"3,705,000"
Ambulatory health care services,2018,"7,512,000"
Hospitals,2018,"5,125,000"
Nursing and residential care facilities,2018,"3,389,000"
Social assistance,2018,"3,993,000"
"Performing arts, spectator sports, museums, and related activities",2018,"683,000"
"Amusements, gambling, and recreation industries",2018,"1,726,000"
Accommodation,2018,"2,025,000"
Food services and drinking places,2018,"11,892,000"
"Other services, except government",2018,"7,268,000"
Farms,2019,"814,000"
"Forestry, fishing, and related activities",2019,"643,000"
Oil and gas extraction,2019,"142,000"
"Mining, except oil and gas",2019,"191,000"
Support activities for mining,2019,"340,000"
 Utilities,2019,"549,000"
 Construction,2019,"7,646,000"
Wood products,2019,"407,000"
Nonmetallic mineral products,2019,"417,000"
 Primary metals,2019,"387,000"
Fabricated metal products,2019,"1,484,000"
Machinery,2019,"1,126,000"
Computer and electronic products,2019,"1,074,000"
"Electrical equipment, appliances, and components",2019,"401,000"
"Motor vehicles, bodies and trailers, and parts",2019,"999,000"
Other transportation equipment,2019,"734,000"
Furniture and related products,2019,"386,000"
Miscellaneous manufacturing,2019,"618,000"
Food and beverage and tobacco products,2019,"1,922,000"
Textile mills and textile product mills,2019,"221,000"
Apparel and leather and allied products,2019,"137,000"
Paper products,2019,"365,000"
Printing and related support activities,2019,"425,000"
Petroleum and coal products,2019,"113,000"
Chemical products,2019,"850,000"
Plastics and rubber products,2019,"731,000"
Motor vehicle and parts dealers,2019,"2,044,000"
Food and beverage stores,2019,"3,088,000"
General merchandise stores,2019,"3,034,000"
Other retail2,2019,"7,568,000"
Air transportation,2019,"508,000"
Rail transportation,2019,"177,000"
Water transportation,2019,"67,000"
Truck transportation,2019,"1,556,000"
Transit and ground passenger transportation,2019,"506,000"
Pipeline transportation,2019,"51,000"
Other transportation and support activities3,2019,"1,622,000"
Warehousing and storage,2019,"1,249,000"
Publishing industries (includes software),2019,"941,000"
Motion picture and sound recording industries,2019,"441,000"
Broadcasting and telecommunications,2019,"980,000"
Information and data processing services,2019,"498,000"
"Federal Reserve banks, credit intermediation, and related activities",2019,"2,674,000"
"Securities, commodity contracts, and investments",2019,"952,000"
Insurance carriers and related activities,2019,"2,809,000"
"Funds, trusts, and other financial vehicles",2019,"17,000"
Real estate,2019,"1,757,000"
Rental and leasing services and lessors of intangible assets4,2019,"606,000"
Legal services,2019,"1,168,000"
Computer systems design and related services,2019,"2,198,000"
"Miscellaneous professional, scientific, and technical services5",2019,"6,262,000"
Management of companies and enterprises6,2019,"2,410,000"
Administrative and support services,2019,"8,907,000"
Waste management and remediation services,2019,"451,000"
Educational services,2019,"3,757,000"
Ambulatory health care services,2019,"7,715,000"
Hospitals,2019,"5,178,000"
Nursing and residential care facilities,2019,"3,402,000"
Social assistance,2019,"4,164,000"
"Performing arts, spectator sports, museums, and related activities",2019,"698,000"
"Amusements, gambling, and recreation industries",2019,"1,768,000"
Accommodation,2019,"2,064,000"
Food services and drinking places,2019,"12,045,000"
"Other services, except government",2019,"7,372,000"
