Industries,Year,Salary($)
"Other services, except government",2017,"44,013.00"
"Other services, except government",2018,"45,105.00"
"Other services, except government",2015,"41,159.00"
"Other services, except government",2019,"46,030.00"
"Other services, except government",2016,"42,253.00"
"Other services, except government",2013,"39,023.00"
"Other services, except government",2012,"37,796.00"
"Other services, except government",2014,"39,871.00"
Other transportation and support activities3,2018,"55,210.00"
Other transportation and support activities3,2014,"52,364.00"
Other transportation and support activities3,2019,"55,632.00"
Other transportation and support activities3,2015,"52,882.00"
Other transportation and support activities3,2012,"50,800.00"
Other transportation and support activities3,2017,"53,984.00"
Other transportation and support activities3,2016,"53,007.00"
Other transportation and support activities3,2013,"51,636.00"
Other transportation equipment,2018,"96,937.00"
Other transportation equipment,2016,"90,771.00"
Other transportation equipment,2015,"90,220.00"
Other transportation equipment,2012,"83,997.00"
Other transportation equipment,2017,"93,957.00"
Other transportation equipment,2014,"89,342.00"
Other transportation equipment,2013,"86,253.00"
Other transportation equipment,2019,"98,080.00"
Paper products,2016,"68,503.00"
Paper products,2018,"71,419.00"
Paper products,2012,"64,127.00"
Paper products,2015,"68,401.00"
Paper products,2014,"67,196.00"
Paper products,2019,"72,497.00"
Paper products,2017,"69,506.00"
Paper products,2013,"65,441.00"
"Performing arts, spectator sports, museums, and related activities",2015,"89,364.00"
"Performing arts, spectator sports, museums, and related activities",2012,"84,664.00"
"Performing arts, spectator sports, museums, and related activities",2017,"94,834.00"
"Performing arts, spectator sports, museums, and related activities",2019,"100,006.00"
"Performing arts, spectator sports, museums, and related activities",2014,"85,075.00"
"Performing arts, spectator sports, museums, and related activities",2018,"96,936.00"
"Performing arts, spectator sports, museums, and related activities",2013,"83,276.00"
"Performing arts, spectator sports, museums, and related activities",2016,"92,218.00"
Petroleum and coal products,2013,"108,801.00"
Petroleum and coal products,2017,"115,123.00"
Petroleum and coal products,2015,"115,920.00"
Petroleum and coal products,2018,"119,356.00"
Petroleum and coal products,2019,"123,814.00"
Petroleum and coal products,2012,"108,140.00"
Petroleum and coal products,2016,"115,824.00"
Petroleum and coal products,2014,"110,726.00"
Pipeline transportation,2019,"145,977.00"
Pipeline transportation,2013,"124,309.00"
Pipeline transportation,2014,"124,963.00"
Pipeline transportation,2017,"136,721.00"
Pipeline transportation,2018,"137,285.00"
Pipeline transportation,2016,"130,880.00"
Pipeline transportation,2015,"129,658.00"
Pipeline transportation,2012,"137,264.00"
Plastics and rubber products,2017,"55,054.00"
Plastics and rubber products,2016,"53,749.00"
Plastics and rubber products,2018,"56,190.00"
Plastics and rubber products,2013,"50,529.00"
Plastics and rubber products,2014,"51,450.00"
Plastics and rubber products,2012,"49,992.00"
Plastics and rubber products,2019,"56,924.00"
Plastics and rubber products,2015,"52,524.00"
Printing and related support activities,2012,"47,188.00"
Printing and related support activities,2018,"52,868.00"
Printing and related support activities,2016,"50,403.00"
Printing and related support activities,2015,"49,598.00"
Printing and related support activities,2019,"53,585.00"
Printing and related support activities,2017,"51,019.00"
Printing and related support activities,2014,"48,711.00"
Printing and related support activities,2013,"47,807.00"
Publishing industries (includes software),2014,"117,239.00"
Publishing industries (includes software),2018,"158,099.00"
Publishing industries (includes software),2016,"130,440.00"
Publishing industries (includes software),2012,"102,599.00"
Publishing industries (includes software),2017,"143,996.00"
Publishing industries (includes software),2013,"112,196.00"
Publishing industries (includes software),2015,"126,715.00"
Publishing industries (includes software),2019,"168,132.00"
Rail transportation,2013,"88,364.00"
Rail transportation,2012,"92,289.00"
Rail transportation,2014,"94,268.00"
Rail transportation,2018,"102,987.00"
Rail transportation,2016,"93,446.00"
Rail transportation,2017,"96,818.00"
Rail transportation,2015,"95,455.00"
Rail transportation,2019,"108,035.00"
Real estate,2013,"55,336.00"
Real estate,2014,"57,859.00"
Real estate,2017,"65,051.00"
Real estate,2019,"69,235.00"
Real estate,2012,"54,243.00"
Real estate,2018,"67,153.00"
Real estate,2015,"61,443.00"
Real estate,2016,"62,542.00"
Rental and leasing services and lessors of intangible assets4,2018,"60,339.00"
Rental and leasing services and lessors of intangible assets4,2016,"55,106.00"
Rental and leasing services and lessors of intangible assets4,2015,"55,889.00"
Rental and leasing services and lessors of intangible assets4,2013,"52,859.00"
Rental and leasing services and lessors of intangible assets4,2014,"55,784.00"
Rental and leasing services and lessors of intangible assets4,2012,"52,805.00"
Rental and leasing services and lessors of intangible assets4,2019,"62,771.00"
Rental and leasing services and lessors of intangible assets4,2017,"56,973.00"
"Securities, commodity contracts, and investments",2017,"236,544.00"
"Securities, commodity contracts, and investments",2013,"205,093.00"
"Securities, commodity contracts, and investments",2016,"219,633.00"
"Securities, commodity contracts, and investments",2018,"235,409.00"
"Securities, commodity contracts, and investments",2015,"221,977.00"
"Securities, commodity contracts, and investments",2012,"209,090.00"
"Securities, commodity contracts, and investments",2014,"224,651.00"
"Securities, commodity contracts, and investments",2019,"238,876.00"
Social assistance,2014,"26,093.00"
Social assistance,2015,"26,643.00"
Social assistance,2017,"27,955.00"
Social assistance,2016,"27,428.00"
Social assistance,2018,"28,751.00"
Social assistance,2019,"29,907.00"
