CAINC4 Personal Income and Employment by Major Component,,,,,,,,,
Per capita personal income (Dollars) 4/ ,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,
County,,,,,,,,,
GeoFips,GeoName,2011,2012,2013,2014,2015,2016,2017,2018
5057,"Hempstead, AR",26047,27625,27617,29402,29077,29295,31369,32515
5059,"Hot Spring, AR",26097,26801,26574,27860,28351,28798,29686,30580
5061,"Howard, AR",26700,28825,30629,32858,32515,32696,34387,35292
5063,"Independence, AR",29975,30151,30286,31124,32030,32782,33882,35086
5065,"Izard, AR",25337,26971,27137,27697,28711,28725,29374,30608
5067,"Jackson, AR",28406,31270,33728,34603,33263,33639,34236,35880
5069,"Jefferson, AR",30275,31180,31579,32008,32199,33278,34006,35356
5071,"Johnson, AR",24059,25465,26243,27625,27709,28041,28649,28970
5073,"Lafayette, AR",27130,30319,31574,34162,33926,34601,34903,36292
5075,"Lawrence, AR",26188,28677,29869,31239,30534,31810,33446,35126
5077,"Lee, AR",27826,26647,29781,25808,25551,26052,26474,27619
5079,"Lincoln, AR",21590,23361,25766,24404,24500,25400,25919,27002
5081,"Little River, AR",29865,30198,30167,31866,32883,33104,33525,34086
5083,"Logan, AR",27661,29629,30052,32926,32646,31925,33540,34490
5085,"Lonoke, AR",33089,34554,35088,35564,36208,36977,37525,38764
5087,"Madison, AR",24582,27658,29669,32411,33350,33506,36069,35496
5089,"Marion, AR",24486,25442,26481,27465,29811,28851,29517,30743
5091,"Miller, AR",29618,30660,29264,30637,31388,32193,32452,33401
5093,"Mississippi, AR",31118,28247,29710,28742,28844,28609,29581,31428
5095,"Monroe, AR",28726,30814,31759,30527,30169,31451,32110,32651
5097,"Montgomery, AR",23767,25016,26139,26959,27587,27818,29778,30834
5099,"Nevada, AR",28046,28725,28521,30104,31662,31802,33006,34180
5101,"Newton, AR",23309,24957,24814,26240,27227,27186,27645,28808
5103,"Ouachita, AR",31269,31903,32163,33096,33954,33945,35026,36907
5105,"Perry, AR",30402,31214,31259,31447,32656,32600,33933,34877
5107,"Phillips, AR",28592,28603,30362,29695,28987,28886,30148,31128
5109,"Pike, AR",26459,27576,27861,29781,30636,30388,31759,33113
5111,"Poinsett, AR",28365,29151,30703,29539,28927,29462,30921,32315
5113,"Polk, AR",24130,25833,26403,28534,28335,28063,29313,30751
5115,"Pope, AR",29347,30774,30868,31965,32833,33012,33972,35261
5117,"Prairie, AR",28612,31173,33965,33756,31460,32574,34208,35935
5119,"Pulaski, AR",42392,45576,43894,45855,47398,47966,49129,51185
5121,"Randolph, AR",26749,27883,28611,29541,28435,30281,32251,33486
5123,"St. Francis, AR",24684,24236,25691,25498,25744,25970,27464,27948
5125,"Saline, AR",35022,36269,36558,37739,38511,39583,40160,41397
5127,"Scott, AR",22028,24531,26047,27992,27973,28340,30330,31401
5129,"Searcy, AR",25040,25669,25892,26785,27727,26630,27109,28511
5131,"Sebastian, AR",35497,36731,36693,38552,39547,39627,40486,42110
5133,"Sevier, AR",23585,26028,26721,28933,28777,29445,30197,31436
5135,"Sharp, AR",26465,28089,28104,30343,30804,30582,31022,32012
5137,"Stone, AR",25115,26167,26457,28509,29328,28461,29491,31086
5139,"Union, AR",40597,45067,43117,44425,41639,39569,43507,46474
5141,"Van Buren, AR",27143,27431,27726,29374,30032,29480,30051,31176
5143,"Washington, AR",30001,32095,33054,35135,36797,37737,39283,40247
5145,"White, AR",30414,31427,31101,32157,32640,33214,34232,35445
5147,"Woodruff, AR",29983,33499,31802,31769,31860,33231,35322,37545
5149,"Yell, AR",25728,26713,28592,30642,30635,30496,32100,33320
6001,"Alameda, CA",51278,53389,55487,59085,63888,67567,71560,76644
6003,"Alpine, CA",57038,60091,59645,67989,70220,74606,68492,73307
6005,"Amador, CA",35527,36438,37728,39802,41855,42701,43405,44793
6007,"Butte, CA",34428,35233,36700,38057,40755,42015,42653,44346
6009,"Calaveras, CA",38181,38019,38747,41371,44256,45703,47177,49893
6011,"Colusa, CA",41365,38005,45181,41877,47077,45163,45475,49094
6013,"Contra Costa, CA",57705,61921,61545,64138,69248,72483,76886,82506
6015,"Del Norte, CA",28681,29449,30680,32606,34754,35868,36172,37268
6017,"El Dorado, CA",50455,52710,54438,57220,60087,62864,64519,67464
6019,"Fresno, CA",33428,34306,34998,37434,39725,40327,41137,43084
